var1	name	position	team	games	season	season_start	age	salary	goals	assists	goals_sixty	assists_sixty	toi	shots	corsifor	corsiagainst	corsi	pdo	cfrel_percent	age_sq	lagged_pdo	lagged_goals	lagged_cfrel_percent	lagged_shots	lagged_assists	lagged_toi
7417	"Aaron.Voros"	"L"	"NYR"	58	2.0e+07	2008	27	"1.2"	5	8	.56	.9	535.2	47	521	431	90	97.22	2.95	729						
882	"Adam.Burish"	"C"	"CHI"	81	2.0e+07	2007	24	"NA"	3	4	.26	.35	680.21	60	425	547	-122	96.62	-7.24	576						
883	"Adam.Burish"	"C"	"CHI"	83	2.0e+07	2008	25	"0.713"	9	5	.87	.48	622.11	91	499	436	63	100.73	-1.11	625	96.62	3	-7.24	60	4	680.21
885	"Adam.Burish"	"C"	"DAL"	63	2.0e+07	2010	27	"1"	7	6	.56	.48	755.82	75	584	721	-137	100.79	-2.93	729	100.73	9	-1.11	91	5	622.11
886	"Adam.Burish"	"C"	"DAL"	65	2.0e+07	2011	28	"1.3"	6	11	.52	.96	689.02	69	613	623	-10	100.77	.61	784	100.79	7	-2.93	75	6	755.82
1397	"Adam.Cracknell"	"C"	"EDM/VAN"	50	2.0e+07	2015	30	"0.575"	5	5	.52	.52	579.2	59	452	522	-70	99.95	-.92	900						
2694	"Adam.Hall"	"RC"	"T.B"	74	2.0e+07	2008	28	"0.6"	4	4	.39	.39	615.62	75	474	523	-49	97.59	-.12	784						
2695	"Adam.Hall"	"RC"	"T.B"	100	2.0e+07	2010	30	"0.6"	8	11	.43	.6	1106.14	164	865	1000	-135	96.24	-5.29	900	97.59	4	-.12	75	4	615.62
2696	"Adam.Hall"	"RC"	"T.B"	57	2.0e+07	2011	31	"0.6"	2	5	.24	.6	503.8	55	355	440	-85	96.27	-4.17	961	96.24	8	-5.29	164	11	1106.14
2698	"Adam.Hall"	"RC"	"PHI"	87	2.0e+07	2013	33	"0.6"	2	4	.21	.41	579.36	48	424	552	-128	96.03	-7.37	1089	96.27	2	-4.17	55	5	503.8
2932	"Adam.Henrique"	"CL"	"N.J"	98	2.0e+07	2011	21	"0.613"	15	27	.67	1.2	1347.68	117	1123	1021	102	101.49	1.68	441						
2933	"Adam.Henrique"	"CL"	"N.J"	42	2.0e+07	2012	22	"0.525"	5	3	.54	.32	557.02	47	502	376	126	98.12	.41	484	101.49	15	1.68	117	27	1347.68
