Team,GP,W,L,OL,PTS,PTS%,GF,GA,Year,,,,,
Tampa Bay Lightning*,82,62,16,4,128,0.78,325,222,2018,,,,,
Boston Bruins*,82,49,24,9,107,0.652,259,215,2018,,,,,
Toronto Maple Leafs*,82,46,28,8,100,0.61,286,251,2018,,,,,
Montreal Canadiens,82,44,30,8,96,0.585,249,236,2018,,,,,
Florida Panthers,82,36,32,14,86,0.524,267,280,2018,,,,,
Buffalo Sabres,82,33,39,10,76,0.463,226,271,2018,,,,,
Detroit Red Wings,82,32,40,10,74,0.451,227,277,2018,,,,,
Ottawa Senators,82,29,47,6,64,0.39,242,302,2018,,,,,
Washington Capitals*,82,48,26,8,104,0.634,278,249,2018,,,,,
New York Islanders*,82,48,27,7,103,0.628,228,196,2018,,,,,
Pittsburgh Penguins*,82,44,26,12,100,0.61,273,241,2018,,,,,
Carolina Hurricanes*,82,46,29,7,99,0.604,245,223,2018,,,,,
Columbus Blue Jackets*,82,47,31,4,98,0.598,258,232,2018,,,,,
Philadelphia Flyers,82,37,37,8,82,0.5,244,281,2018,,,,,
New York Rangers,82,32,36,14,78,0.476,227,272,2018,,,,,
New Jersey Devils,82,31,41,10,72,0.439,222,275,2018,,,,,
Nashville Predators*,82,47,29,6,100,0.61,240,214,2018,,,,,
Winnipeg Jets*,82,47,30,5,99,0.604,272,244,2018,,,,,
St. Louis Blues*,82,45,28,9,99,0.604,247,223,2018,,,,,
Dallas Stars*,82,43,32,7,93,0.567,210,202,2018,,,,,
Colorado Avalanche*,82,38,30,14,90,0.549,260,246,2018,,,,,
Chicago Blackhawks,82,36,34,12,84,0.512,270,292,2018,,,,,
Minnesota Wild,82,37,36,9,83,0.506,211,237,2018,,,,,
Calgary Flames*,82,50,25,7,107,0.652,289,227,2018,,,,,
San Jose Sharks*,82,46,27,9,101,0.616,289,261,2018,,,,,
Vegas Golden Knights*,82,43,32,7,93,0.567,249,230,2018,,,,,
Arizona Coyotes,82,39,35,8,86,0.524,213,223,2018,,,,,
Vancouver Canucks,82,35,36,11,81,0.494,225,254,2018,,,,,
Anaheim Ducks,82,35,37,10,80,0.488,199,251,2018,,,,,
Edmonton Oilers,82,35,38,9,79,0.482,232,274,2018,,,,,
Los Angeles Kings,82,31,42,9,71,0.433,202,263,2018,,,,,
Boston Bruins*,70,44,14,12,100,0.714,227,174,2019,,,,,
Tampa Bay Lightning*,70,43,21,6,92,0.657,245,195,2019,,,,,
Toronto Maple Leafs*,70,36,25,9,81,0.579,238,227,2019,,,,,
Florida Panthers*,69,35,26,8,78,0.565,231,228,2019,,,,,
Montreal Canadiens*,71,31,31,9,71,0.5,212,221,2019,,,,,
Buffalo Sabres,69,30,31,8,68,0.493,195,217,2019,,,,,
Ottawa Senators,71,25,34,12,62,0.437,191,243,2019,,,,,
Detroit Red Wings,71,17,49,5,39,0.275,145,267,2019,,,,,
Washington Capitals*,69,41,20,8,90,0.652,240,215,2019,,,,,
Philadelphia Flyers*,69,41,21,7,89,0.645,232,196,2019,,,,,
Pittsburgh Penguins*,69,40,23,6,86,0.623,224,196,2019,,,,,
Carolina Hurricanes*,68,38,25,5,81,0.596,222,193,2019,,,,,
Columbus Blue Jackets*,70,33,22,15,81,0.579,180,187,2019,,,,,
New York Islanders*,68,35,23,10,80,0.588,192,193,2019,,,,,
New York Rangers*,70,37,28,5,79,0.564,234,222,2019,,,,,
New Jersey Devils,69,28,29,12,68,0.493,189,230,2019,,,,,
St. Louis Blues*,71,42,19,10,94,0.662,225,193,2019,,,,,
Colorado Avalanche*,70,42,20,8,92,0.657,237,191,2019,,,,,
Dallas Stars*,69,37,24,8,82,0.594,180,177,2019,,,,,
Winnipeg Jets*,71,37,28,6,80,0.563,216,203,2019,,,,,
Nashville Predators*,69,35,26,8,78,0.565,215,217,2019,,,,,
Minnesota Wild*,69,35,27,7,77,0.558,220,220,2019,,,,,
Chicago Blackhawks*,70,32,30,8,72,0.514,212,218,2019,,,,,
Vegas Golden Knights*,71,39,24,8,86,0.606,227,211,2019,,,,,
Edmonton Oilers*,71,37,25,9,83,0.585,225,217,2019,,,,,
Calgary Flames*,70,36,27,7,79,0.564,210,215,2019,,,,,
Vancouver Canucks*,69,36,27,6,78,0.565,228,217,2019,,,,,
Arizona Coyotes*,70,33,29,8,74,0.529,195,187,2019,,,,,
Anaheim Ducks,71,29,33,9,67,0.472,187,226,2019,,,,,
Los Angeles Kings,70,29,35,6,64,0.457,178,212,2019,,,,,
San Jose Sharks,70,29,36,5,63,0.45,182,226,2019,,,,0.J64:L68634,
Tampa Bay Lightning*,40,31,7,2,64,0.726,168,117,2018.5,,,,,
Toronto Maple Leafs*,39,26,11,2,54,0.573,144,109,2018.5,,,,,
Boston Bruins*,40,22,14,4,48,0.604,114,105,2018.5,,,,,
Buffalo Sabres,40,21,13,6,48,0.39,115,115,2018.5,,,,,
Montreal Canadiens,40,21,14,5,47,0.518,128,128,2018.5,,,,,
Florida Panthers,38,17,15,6,40,0.463,124,134,2018.5,,,,,
Detroit Red Wings,41,15,19,7,37,0.402,115,140,2018.5,,,,,
Ottawa Senators,40,15,21,4,34,0.36,126,159,2018.5,,,,,
Washington Capitals*,38,24,11,3,51,0.567,138,112,2018.5,,,,,
Columbus Blue Jackets*,39,23,13,3,49,0.567,129,119,2018.5,,,,,
Pittsburgh Penguins*,39,21,12,6,48,0.543,133,115,2018.5,,,,,
New York Islanders*,38,21,13,4,46,0.585,114,102,2018.5,,,,,
New York Rangers,38,17,14,7,41,0.384,111,123,2018.5,,,,,
Carolina Hurricanes*,38,16,17,5,37,0.561,94,109,2018.5,,,,,
New Jersey Devils,38,15,16,7,37,0.384,113,127,2018.5,,,,,
Philadelphia Flyers,39,15,19,5,35,0.439,111,140,2018.5,,,,,
Winnipeg Jets*,39,25,12,2,52,0.567,134,111,2018.5,,,,,
Nashville Predators*,41,24,15,2,50,0.561,124,104,2018.5,,,,,
Colorado Avalanche*,40,19,13,8,46,0.463,134,123,2018.5,,,,,
Dallas Stars*,40,20,16,4,44,0.53,108,106,2018.5,,,,,
Minnesota Wild,38,18,17,3,39,0.47,110,108,2018.5,,,,,
Chicago Blackhawks,42,15,21,6,36,0.427,121,153,2018.5,,,,,
St. Louis Blues*,37,15,18,4,34,0.549,102,123,2018.5,,,,,
Calgary Flames*,40,24,12,4,52,0.634,141,112,2018.5,,,,,
Vegas Golden Knights*,43,24,15,4,52,0.518,130,115,2018.5,,,,,
San Jose Sharks*,41,21,13,7,49,0.579,140,129,2018.5,,,,,
Anaheim Ducks,41,19,15,7,45,0.427,102,120,2018.5,,,,,
Vancouver Canucks,42,19,19,4,42,0.427,124,133,2018.5,,,,,
Edmonton Oilers,39,18,18,3,39,0.427,111,126,2018.5,,,,,
Arizona Coyotes,39,17,20,2,36,0.47,100,112,2018.5,,,,,
Los Angeles Kings,41,16,22,3,35,0.384,92,121,2018.5,,,,,
